workerid,trial_type,story,scenario,topic,slide_number,response,block,qud,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""distributiveFiller""","""Fiona and her friend are both teachers, and they are talking about their students. Her friend asks about her most recent lecture.""","""The students took notes during the lecture.""","""lecture""",4,0.12,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""distributiveFiller""","""Crystal and her friend are talking about spending time with their significant others&quotechar families. Her friend asks about her recent outing with her boyfriend.""","""Brandon and his brother put cheese on their pasta at dinner.""","""pasta""",5,0.06,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""pronounFiller""","""Drew and his friend are talking about Drew&quotechars sons, who are huge comic book fans. His friend asks him what they&quotecharve been reading lately.""","""John gave the new Marvel comic to Sean, and he started reading it right away.""","""comic""",6,0.96,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""critical""","""Crystal and her friend absolutely love to travel, and they are having a drink together today. When they reach the bar, her friend asks where she&quotechars traveled to lately.""","""I traveled to San Francisco.""","""San Francisco""",7,0.03,"""exhaustivity""","""exhaustive""","""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""critical""","""Anthony and his friend both really enjoy giving their loved ones birthday gifts, and they are going to work out together today. At the gym entrance, his friend asks what he bought his sister for his birthday.""","""I gave my sister a perfume as a birthday gift.""","""perfume""",8,0,"""exhaustivity""","""exhaustive""","""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""pronounFiller""","""Cassandra and her friend want to attend more local animal rights events. Her friend asks about an upcoming protest in their city.""","""The city council denied the protestors a permit because they advocated violence.""","""protest""",9,1,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""pronounFiller""","""Barbara and her friend live in the same neighborhood, and they are talking about their other neighbors. Her friend asks whether she heard what happened the other day. ""","""Claire snatched the phone from Irene, and she dialed a number.""","""phone""",10,1,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""critical""","""Alyssa and her friend both really love shoes,  and they are planning on watching a movie together tonight. Outside the movie theater, her friend asks what she&quotechars bought recently.""","""I got a pair of sandals at the mall.""","""sandals""",11,0.58,"""exhaustivity""","""exhaustive""","""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""critical""","""Emily and her friend resolved at their last hangout that the next engagement gift they each sent to a loved one would be a fruit basket. They are about to buy houseplants together. Upon reaching the nursery, her friend asks what she sent her college roommate for her recent engagement.""","""I sent a fruit basket as an engagement gift.""","""fruit basket""",12,0.08,"""exhaustivity""","""polar""","""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
0,"""distributiveFiller""","""Vanessa and her friend are recapping their first week in college. Her friend asks for a funny professor story. ""","""The professors ate fried rice before returning to their research.""","""professors""",13,0.79,"""exhaustivity""",NA,"""English""","""2""","""Male""","""29""","""Yes""","""Yes""","""3""","""Windows""",576,1024,"""Firefox""","""3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3MRHU529460FT6BSZPDSZG6MHN12AK""","""Language study""","""A 20-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$5.00""","""Thu Oct 18 11:53:45 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sat Nov 17 10:53:45 PST 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3LB1BGHFL27QJWUP4I6NI94UXV8TYN""","""3ND9UOO81LD1YYPE6ARA055LTC6WLY""",0,"""Submitted""","""Fri Oct 19 04:42:14 PDT 2018""","""Thu Oct 18 11:53:57 PDT 2018""","""Thu Oct 18 12:02:14 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""8.106316666666666"""
