workerid,trial_type,story,scenario,topic,slide_number,response,block,qud,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""pronounFiller""","""Amanda and her friend are talking about some of the disasters that have happened in their friend group lately. Her friend asks whether she heard about the car fiascos.""","""Mary helped Julie change her flat tire and then she helped Peter change his oil.""","""car""",4,"""polar""","""qud_assessment""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""pronounFiller""","""Amanda and her friend are talking about some of the disasters that have happened in their friend group lately. Her friend asks whether she heard about the car fiascos.""","""Mary helped Julie change her flat tire and then she helped Peter change his oil.""","""car""",4,0.09,"""exhaustivity""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""critical""","""Matthew and his friend both highly prioritize cooking meals over eating out, and they are going to the farmer&quotechars market this morning. As they head into the farmer&quotechars market, his friend asks what he cooked for dinner.""","""I cooked a salmon filet for dinner.""","""salmon""",5,"""exhaustive""","""qud_assessment""","""exhaustive""","""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""critical""","""Matthew and his friend both highly prioritize cooking meals over eating out, and they are going to the farmer&quotechars market this morning. As they head into the farmer&quotechars market, his friend asks what he cooked for dinner.""","""I cooked a salmon filet for dinner.""","""salmon""",5,0.89,"""exhaustivity""","""exhaustive""","""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""pronounFiller""","""Chris and his friend are musicians, and they are discussing the dynamics in their respective bands. His friend asks him whether there is any drama in his band.""","""Richard respects Harry, and Dennis absolutely worships him.""","""band""",6,"""exhaustive""","""qud_assessment""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""pronounFiller""","""Chris and his friend are musicians, and they are discussing the dynamics in their respective bands. His friend asks him whether there is any drama in his band.""","""Richard respects Harry, and Dennis absolutely worships him.""","""band""",6,0.92,"""exhaustivity""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""pronounFiller""","""Ariana and her friend go to concerts often and are chatting about the shows they have been to recently. Her friend asks what happened at the crowded concert she went to last weekend.""","""Jane bumped Bonnie and she poked Steven.""","""concert""",7,"""polar""","""qud_assessment""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""pronounFiller""","""Ariana and her friend go to concerts often and are chatting about the shows they have been to recently. Her friend asks what happened at the crowded concert she went to last weekend.""","""Jane bumped Bonnie and she poked Steven.""","""concert""",7,0.91,"""exhaustivity""",NA,"""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""filler""","""Evan and his friend discovered when they hung out last that they are both major clothing enthusiasts. They are catching up over lunch today. As they take their seats at the restaurant, his friend asks what he wore to work the other day.""","""I wore a blazer to work.""","""work outfit""",8,"""exhaustive""","""qud_assessment""","""exhaustive""","""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
0,"""filler""","""Evan and his friend discovered when they hung out last that they are both major clothing enthusiasts. They are catching up over lunch today. As they take their seats at the restaurant, his friend asks what he wore to work the other day.""","""I wore a blazer to work.""","""work outfit""",8,1,"""exhaustivity""","""exhaustive""","""English""","""2""","""Female""","""44""","""Yes.""","""Yes""","""2""","""Windows""",864,1536,"""Chrome""","""31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3XDD1E7DURAB1SDDS89U8L09MOE3PR""","""Language study""","""A 15-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$3.00""","""Fri Dec 14 16:03:23 PST 2018""","""4""","""0""","""0""","""4""","""Reviewable""","""NotReviewed""","""1 cond""","""3600""","""60000""","""Sun Jan 13 16:03:23 PST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=31KSVEGZ3439ECMXLSJ4XXIWZ5AWRK""","""3YT88D1N099TNU58BQ47G8H9BAE3KQ""",0,"""Approved""","""Sat Dec 15 09:08:22 PST 2018""","""Fri Dec 14 16:03:29 PST 2018""","""Fri Dec 14 16:28:22 PST 2018""","""Sat Dec 15 09:08:34 PST 2018""","""""","""""","""""","""""","""[]""","""23.703416666666666"""
